player_id,name,team_id,team_name,total_match,catches,caught_behind,run_outs,assist_run_outs,stumpings,caught_and_bowl,total_catches,total_dismissal
13764702,Ajay Kumar Holla,4814191,TBG Neulussheim,5,1,0,0,0,0,0,1,1
17401401,Rohit Trivedi,4814191,TBG Neulussheim,5,1,0,0,0,0,0,1,1
27925759,Arun Selva,430802,Tgs Indian Challengers,5,1,0,0,0,0,0,1,1
28352302,Praveen Kumar Damera,3642022,FCC Friends XI,5,1,0,0,0,0,0,1,1
31976073,Srinivas Akkineni,7356382,SPVGG Dragons,5,1,0,0,0,0,0,1,1
38718499,Gowtham Thotapalli,3642022,FCC Friends XI,5,1,0,0,0,0,0,1,1
37943869,Liaqat Khan,9304922,Wetzlar Sixers,6,0,0,0,1,0,1,1,1
5639534,Mani,7440693,TSV Darmstadt XI,7,1,0,0,0,0,0,1,1
5639931,Mithun Rajanna,7440693,TSV Darmstadt XI,7,1,0,0,0,0,0,1,1
31950788,Muhammad Faisal,2114868,SVS Frankfurt Eagles,7,1,0,0,0,0,0,1,1
33447678,Anu Chacko,7989971,Mainz Cricket Club,0,0,0,0,0,0,0,0,0
760039,Ananda Suryan,1517508,Frankfurt Spartans Cricket Club,1,0,0,0,0,0,0,0,0
2766284,Abhijit Das,4814191,TBG Neulussheim,1,0,0,0,0,0,0,0,0
3279016,Rohitcric,7440693,TSV Darmstadt XI,1,0,0,0,0,0,0,0,0
3281202,Miral Gajjar,1517508,Frankfurt Spartans Cricket Club,1,0,0,0,0,0,0,0,0
5505495,Mumtaz Ali,7437938,FalconsXI,1,0,0,0,0,0,0,0,0
5640951,Jayasimha Varma Kucharlapati,2623314,TSV Darmstadt United,1,0,0,0,0,0,0,0,0
5645589,Md Imran Hossain,8007462,SV Tigers am Main,1,0,0,0,0,0,0,0,0
9739712,Ravinder Reddy,3793721,Trebur Cricket Club,1,0,0,0,0,0,0,0,0
12894508,Vikalp Kaushik,806595,Juggernaut Cricket Club,1,0,0,0,0,0,0,0,0
13043353,Emptyab1573,9434097,Darebulls,1,0,0,0,0,0,0,0,0
13489587,Gowthamraj Selvaraj,430654,Royal Strikers FFM,1,0,0,0,0,0,0,0,0
14886410,Sanjeet Lamichhane,2623314,TSV Darmstadt United,1,0,0,0,0,0,0,0,0
20848174,Nikunj Prajapati,4220557,TSGN Royal Warriors,1,0,0,0,0,0,0,0,0
20969823,Rizwan,8007462,SV Tigers am Main,1,0,0,0,0,0,0,0,0
28007258,Karthick Ramachandran,6290732,TSV Frankfurt Garuda,1,0,0,0,0,0,0,0,0
28329959,Ali Raza,7437938,FalconsXI,1,0,0,0,0,0,0,0,0
31005552,Nithin Kumar,6941365,Karlsruhe Knights,1,0,0,0,0,0,0,0,0
31068747,Deepak Bhardwaj,7424272,Freizeit CC,1,0,0,0,0,0,0,0,0
31223036,Nitin Singh,9491502,Mighty Titans,1,0,0,0,0,0,0,0,0
31435913,Shreyas Friedberg,7356382,SPVGG Dragons,1,0,0,0,0,0,0,0,0
31692655,Abdul Ghaffar,2623314,TSV Darmstadt United,1,0,0,0,0,0,0,0,0
31713305,Faraz Islam,7442593,AMU Sultans,1,0,0,0,0,0,0,0,0
31713319,Sheikh Suleman,7442593,AMU Sultans,1,0,0,0,0,0,0,0,0
31713336,Zeeshan Alam,7442593,AMU Sultans,1,0,0,0,0,0,0,0,0
31742479,Pavan Kumar Kurra,6290732,TSV Frankfurt Garuda,1,0,0,0,0,0,0,0,0
31747786,Shashi Kiran,7437938,FalconsXI,1,0,0,0,0,0,0,0,0
31919159,Barkat Ali,7437045,Hawk Hunters,1,0,0,0,0,0,0,0,0
31975942,Sudhakar Tadikonda,7424272,Freizeit CC,1,0,0,0,0,0,0,0,0
31976577,Muhammad Iqbal,9434097,Darebulls,1,0,0,0,0,0,0,0,0
32080750,Rehan Ahmed Raja,7437045,Hawk Hunters,1,0,0,0,0,0,0,0,0
33529029,Adeel Musadiq,7437938,FalconsXI,1,0,0,0,0,0,0,0,0
34046580,Sudesh Singh,9428609,Hanau Pioneers,1,0,0,0,0,0,0,0,0
34046652,Parthiban Rengaraj,9428609,Hanau Pioneers,1,0,0,0,0,0,0,0,0
37943863,Shahmalang,9304922,Wetzlar Sixers,1,0,0,0,0,0,0,0,0
38347277,Adeel Muhammad,6269379,TGS Rising Challengers,1,0,0,0,0,0,0,0,0
